Date,Close,Open,High,Low
11/10/22,3588.84,3595.86,3640.66,3568.45
10/10/22,3612.39,3647.51,3652.17,3588.10
07/10/22,3639.66,3706.74,3706.74,3620.73
06/10/22,3744.52,3771.97,3797.93,3739.22
05/10/22,3783.28,3753.25,3806.91,3722.66
04/10/22,3790.93,3726.46,3791.92,3726.46
03/10/22,3678.43,3609.78,3698.35,3604.93
30/09/22,3585.62,3633.48,3671.44,3584.13
29/09/22,3640.47,3687.01,3687.01,3610.40
28/09/22,3719.04,3651.94,3736.74,3640.61
27/09/22,3647.29,3686.44,3717.53,3623.29
26/09/22,3655.04,3682.72,3715.67,3644.76
23/09/22,3693.23,3727.14,3727.14,3647.47
22/09/22,3757.99,3782.36,3790.90,3749.45
21/09/22,3789.93,3871.40,3907.07,3789.49
20/09/22,3855.93,3875.23,3876.01,3827.54
19/09/22,3899.89,3849.91,3900.45,3838.50
16/09/22,3873.33,3880.95,3880.95,3837.08
15/09/22,3901.35,3932.41,3959.14,3888.28
14/09/22,3946.01,3940.73,3961.94,3912.18
13/09/22,3932.69,4037.12,4037.12,3921.28
12/09/22,4110.41,4083.67,4119.28,4083.67
09/09/22,4067.36,4022.94,4076.81,4022.94
08/09/22,4006.18,3959.94,4010.50,3944.81
07/09/22,3979.87,3909.43,3987.89,3906.03
06/09/22,3908.19,3930.89,3942.55,3886.75
02/09/22,3924.26,3994.66,4018.43,3906.21
01/09/22,3966.85,3936.73,3970.23,3903.65
31/08/22,3955.00,4000.67,4015.37,3954.53
30/08/22,3986.16,4041.25,4044.98,3965.21
29/08/22,4030.61,4034.58,4062.99,4017.42
26/08/22,4057.66,4198.74,4203.04,4057.66
25/08/22,4199.12,4153.26,4200.54,4147.59
24/08/22,4140.77,4126.55,4156.56,4119.97
23/08/22,4128.73,4133.09,4159.77,4124.03
22/08/22,4137.99,4195.08,4195.08,4129.86
19/08/22,4228.48,4266.31,4266.31,4218.70
18/08/22,4283.74,4273.13,4292.53,4261.98
17/08/22,4274.04,4280.40,4302.18,4253.08
16/08/22,4305.20,4290.46,4325.28,4277.77
15/08/22,4297.14,4269.37,4301.79,4256.90
12/08/22,4280.15,4225.02,4280.47,4219.78
11/08/22,4207.27,4227.40,4257.91,4201.41
10/08/22,4210.24,4181.02,4211.03,4177.26
09/08/22,4122.47,4133.11,4137.30,4112.09
08/08/22,4140.06,4155.93,4186.62,4128.97
05/08/22,4145.19,4115.87,4151.58,4107.31
04/08/22,4151.94,4154.85,4161.29,4135.42
03/08/22,4155.17,4107.96,4167.66,4107.96
02/08/22,4091.19,4104.21,4140.47,4079.81
01/08/22,4118.63,4112.38,4144.95,4096.02
29/07/22,4130.29,4087.33,4140.15,4079.22
28/07/22,4072.43,4026.13,4078.95,3992.97
27/07/22,4023.61,3951.43,4039.56,3951.43
26/07/22,3921.05,3953.22,3953.22,3910.74
25/07/22,3966.84,3965.72,3975.30,3943.46
22/07/22,3961.63,3998.43,4012.44,3938.86
21/07/22,3998.95,3955.47,3999.29,3927.64
20/07/22,3959.90,3935.32,3974.13,3922.03
19/07/22,3936.69,3860.73,3939.81,3860.73
18/07/22,3830.85,3883.79,3902.44,3818.63
15/07/22,3863.16,3818.00,3863.62,3817.18
14/07/22,3790.38,3763.99,3796.41,3721.56
13/07/22,3801.78,3779.67,3829.44,3759.07
12/07/22,3818.80,3851.95,3873.41,3802.36
11/07/22,3854.43,3880.94,3880.94,3847.22
08/07/22,3899.38,3888.26,3918.50,3869.34
07/07/22,3902.62,3858.85,3910.63,3858.85
06/07/22,3845.08,3831.98,3870.91,3809.37
05/07/22,3831.39,3792.61,3832.19,3742.06
01/07/22,3825.33,3781.00,3829.82,3752.10
30/06/22,3785.38,3785.99,3818.99,3738.67
29/06/22,3818.83,3825.09,3836.50,3799.02
28/06/22,3821.55,3913.00,3945.86,3820.14
27/06/22,3900.11,3920.76,3927.72,3889.66
24/06/22,3911.74,3821.75,3913.65,3821.75
23/06/22,3795.73,3774.71,3802.58,3743.52
22/06/22,3759.89,3733.89,3801.79,3717.69
21/06/22,3764.79,3715.31,3779.65,3715.31
17/06/22,3674.84,3665.90,3707.71,3636.87
16/06/22,3666.77,3728.18,3728.18,3639.77
15/06/22,3789.99,3764.05,3837.56,3722.30
14/06/22,3735.48,3763.52,3778.18,3705.68
13/06/22,3749.63,3838.15,3838.15,3734.30
10/06/22,3900.86,3974.39,3974.39,3900.16
09/06/22,4017.82,4101.65,4119.10,4017.17
08/06/22,4115.77,4147.12,4160.14,4107.20
07/06/22,4160.68,4096.47,4164.86,4080.19
06/06/22,4121.43,4134.72,4168.78,4109.18
03/06/22,4108.54,4137.57,4142.67,4098.67
02/06/22,4176.82,4095.41,4177.51,4074.37
01/06/22,4101.23,4149.78,4166.54,4073.85
31/05/22,4132.15,4151.09,4168.34,4104.88
27/05/22,4158.24,4077.43,4158.49,4077.43
26/05/22,4057.84,3984.60,4075.14,3984.60
25/05/22,3978.73,3929.59,3999.33,3925.03
24/05/22,3941.48,3942.94,3955.68,3875.13
23/05/22,3973.75,3919.42,3981.88,3909.04
20/05/22,3901.36,3927.76,3943.42,3810.32
19/05/22,3900.79,3899.00,3945.96,3876.58
18/05/22,3923.68,4051.98,4051.98,3911.91
17/05/22,4088.85,4052.00,4090.72,4033.93
16/05/22,4008.01,4013.02,4046.46,3983.99
13/05/22,4023.89,3963.90,4038.88,3963.90
12/05/22,3930.08,3903.95,3964.80,3858.87
11/05/22,3935.18,3990.08,4049.09,3928.82
10/05/22,4001.05,4035.18,4068.82,3958.17
09/05/22,3991.24,4081.27,4081.27,3975.48
06/05/22,4123.34,4128.17,4157.69,4067.91
05/05/22,4146.87,4270.43,4270.43,4106.01
04/05/22,4300.17,4181.18,4307.66,4148.91
03/05/22,4175.48,4159.78,4200.10,4147.08
02/05/22,4155.38,4130.61,4169.81,4062.51
29/04/22,4131.93,4253.75,4269.68,4124.28
28/04/22,4287.50,4222.58,4308.45,4188.63
27/04/22,4183.96,4186.52,4240.71,4162.90
26/04/22,4175.20,4278.14,4278.14,4175.04
25/04/22,4296.12,4255.34,4299.02,4200.82
22/04/22,4271.78,4385.83,4385.83,4267.62
21/04/22,4393.66,4489.17,4512.94,4384.47
20/04/22,4459.45,4472.26,4488.29,4448.76
19/04/22,4462.21,4390.63,4471.03,4390.63
18/04/22,4391.69,4385.63,4410.31,4370.30
14/04/22,4392.59,4449.12,4460.46,4390.77
13/04/22,4446.59,4394.30,4453.92,4392.70
12/04/22,4397.45,4437.59,4471.00,4381.34
11/04/22,4412.53,4462.64,4464.35,4408.38
08/04/22,4488.28,4494.15,4520.41,4474.60
07/04/22,4500.21,4474.65,4521.16,4450.30
06/04/22,4481.15,4494.17,4503.94,4450.04
05/04/22,4525.12,4572.45,4593.45,4514.17
04/04/22,4582.64,4547.97,4583.50,4539.21
01/04/22,4545.86,4540.32,4548.70,4507.57
31/03/22,4530.41,4599.02,4603.07,4530.41
30/03/22,4602.45,4624.20,4627.77,4581.32
29/03/22,4631.60,4602.86,4637.30,4589.66
28/03/22,4575.52,4541.09,4575.65,4517.69
25/03/22,4543.06,4522.91,4546.03,4501.07
24/03/22,4520.16,4469.98,4520.58,4465.17
23/03/22,4456.24,4493.10,4501.07,4455.81
22/03/22,4511.61,4469.10,4522.00,4469.10
