Date,Close,Open,High,Low,Volume
12/04/23,13.82,14.13,14.33,13.61,19980000
11/04/23,14.13,14.09,14.40,13.89,15400000
10/04/23,14.16,13.49,14.19,13.41,24270000
06/04/23,14.03,13.43,14.19,13.14,23150000
05/04/23,13.44,13.48,13.86,13.11,29750000
04/04/23,13.79,14.44,14.46,13.51,31190000
03/04/23,14.60,13.82,14.75,13.81,31220000
31/03/23,13.99,13.75,14.19,13.40,39130000
30/03/23,13.69,14.67,14.86,13.54,45300000
29/03/23,14.26,13.21,14.93,13.18,64160000
28/03/23,13.50,14.10,14.24,12.51,56780000
27/03/23,13.82,16.19,16.38,13.46,117260000
24/03/23,12.36,11.98,13.01,11.74,72830000
23/03/23,12.53,14.18,14.65,12.00,98570000
22/03/23,13.33,15.75,16.76,12.95,134710000
21/03/23,15.77,15.65,19.44,14.66,228500000
20/03/23,12.18,18.49,21.59,11.52,189940000
17/03/23,23.03,27.74,30.01,22.30,149190000
16/03/23,34.27,20.22,40.00,19.80,196080000
15/03/23,31.16,29.73,37.85,29.45,98230000
14/03/23,39.63,49.69,50.97,36.81,119000000
13/03/23,31.21,26.76,42.00,17.53,134940000
10/03/23,81.76,69.50,95.44,45.00,51420000
09/03/23,96.01,105.44,106.42,95.68,9320000
08/03/23,115.00,115.25,116.05,113.65,1440000
07/03/23,115.60,121.19,121.19,115.55,2340000
06/03/23,122.07,123.26,123.70,122.00,1490000
03/03/23,123.22,120.68,123.45,120.22,1480000
02/03/23,119.74,120.00,120.61,118.96,1690000
01/03/23,122.50,122.01,123.42,121.58,1850000
28/02/23,123.01,121.95,124.08,121.53,1650000
27/02/23,121.90,121.99,122.92,121.45,2290000
24/02/23,120.44,120.84,121.58,119.74,2760000
23/02/23,123.22,124.26,125.34,121.98,1530000
22/02/23,123.09,122.79,124.40,122.00,1840000
21/02/23,122.81,127.25,127.48,122.30,1920000
17/02/23,128.89,130.19,131.05,127.58,2220000
16/02/23,130.72,131.74,133.02,130.18,1450000
15/02/23,133.74,134.00,134.71,132.59,1570000
14/02/23,135.36,135.94,137.29,133.91,1020000
13/02/23,136.71,135.09,137.05,133.22,851720
10/02/23,135.45,135.24,136.00,133.65,1980000
09/02/23,136.59,141.90,142.14,136.22,1700000
08/02/23,140.87,140.34,143.15,139.69,2680000
07/02/23,143.69,141.49,145.10,140.31,1210000
06/02/23,142.27,142.37,143.37,141.63,946390
03/02/23,144.50,144.82,146.74,143.18,1600000
02/02/23,147.00,145.00,147.68,143.48,1770000
01/02/23,143.18,139.49,144.31,139.24,1420000
31/01/23,140.88,139.48,140.90,138.41,1400000
30/01/23,140.16,138.38,141.37,138.19,1410000
27/01/23,141.01,137.79,141.69,137.51,892730
26/01/23,138.77,139.50,140.89,138.03,1540000
25/01/23,137.72,134.16,137.79,133.67,1210000
24/01/23,136.21,136.81,137.66,135.40,1230000
23/01/23,137.80,136.36,137.97,135.75,1270000
20/01/23,136.18,132.07,136.45,131.25,1580000
19/01/23,130.99,129.98,132.14,129.63,2060000
18/01/23,131.69,131.51,134.19,129.72,2480000
17/01/23,131.40,129.29,133.50,128.26,2790000
13/01/23,128.78,125.00,131.21,121.75,3180000
12/01/23,127.51,129.12,129.70,126.06,2320000
11/01/23,127.99,127.00,128.04,125.20,1590000
10/01/23,126.73,123.67,126.75,122.41,1160000
09/01/23,124.45,127.88,128.00,124.20,1580000
06/01/23,126.53,121.32,126.95,120.38,2040000
05/01/23,120.46,124.39,124.41,120.39,1480000
04/01/23,123.79,123.23,125.04,122.03,1280000
03/01/23,121.54,123.34,124.34,120.42,890420
30/12/22,121.89,121.69,122.89,120.77,542320
29/12/22,122.99,119.60,123.34,119.16,603940
28/12/22,118.77,119.69,120.25,118.00,798900
27/12/22,119.68,119.35,120.75,117.59,913460
23/12/22,119.40,118.82,119.81,117.94,690790
22/12/22,119.18,120.18,121.18,116.17,1380000
21/12/22,121.43,120.23,121.74,120.00,761810
20/12/22,118.71,118.91,119.97,118.05,1180000
19/12/22,119.48,120.69,121.79,118.93,1300000
