Date,Close,Open,High,Low,Volume
27/02/18,247.67,250.40,254.32,247.48,
26/02/18,251.71,249.26,251.75,246.59,
23/02/18,248.08,244.68,248.25,243.67,
22/02/18,243.82,254.57,254.57,243.00,
21/02/18,252.57,250.01,254.84,250.01,
20/02/18,249.41,248.08,252.46,246.15,
16/02/18,248.81,247.08,252.36,240.00,
15/02/18,248.87,250.27,254.38,244.96,
14/02/18,247.49,238.29,249.50,232.41,
13/02/18,239.45,237.37,242.00,237.06,
12/02/18,239.86,239.90,244.30,236.46,
09/02/18,238.65,231.85,240.23,226.75,
08/02/18,227.08,241.21,242.50,226.95,
07/02/18,240.52,242.95,247.10,240.13,
06/02/18,243.43,233.96,245.89,226.61,
05/02/18,235.78,244.68,248.74,232.10,
02/02/18,249.10,254.00,256.93,247.87,
01/02/18,253.38,245.28,253.49,243.69,
31/01/18,246.55,248.11,254.84,245.31,
30/01/18,247.02,247.59,252.57,246.00,
29/01/18,250.26,257.74,260.93,249.82,
26/01/18,257.83,250.00,258.99,250.00,
25/01/18,261.13,262.79,262.79,258.22,
24/01/18,260.72,262.64,263.09,258.72,
23/01/18,261.34,258.89,262.87,257.05,
22/01/18,259.35,256.78,259.45,255.44,
19/01/18,256.32,253.61,256.65,253.51,
18/01/18,253.99,254.80,257.11,253.26,
17/01/18,254.62,253.71,254.91,249.73,
16/01/18,251.70,255.01,257.24,250.12,
12/01/18,253.18,252.14,253.41,250.18,
11/01/18,250.65,251.14,253.20,247.89,
10/01/18,249.65,247.22,254.10,247.22,
09/01/18,246.89,245.76,249.45,244.81,
08/01/18,243.58,243.89,244.04,241.16,
05/01/18,243.85,241.86,244.44,240.05,
04/01/18,239.94,239.57,241.78,238.18,
03/01/18,237.67,236.96,238.34,234.35,
02/01/18,237.38,235.89,237.55,233.35,
29/12/17,233.77,238.79,238.79,233.00,
28/12/17,237.71,235.39,237.90,234.30,
27/12/17,234.89,235.84,236.20,234.11,
26/12/17,236.17,241.00,241.00,235.06,
22/12/17,241.70,241.92,241.92,235.41,
21/12/17,241.67,238.45,242.48,237.12,
20/12/17,236.30,240.49,242.41,232.41,
19/12/17,238.23,241.17,242.56,237.91,
18/12/17,240.65,240.70,242.92,237.59,
15/12/17,237.55,228.00,239.40,228.00,
14/12/17,229.67,233.29,234.78,227.46,
13/12/17,231.29,234.62,236.86,230.87,
12/12/17,234.90,235.06,235.92,230.78,
11/12/17,232.39,232.26,233.92,230.41,
08/12/17,232.27,232.19,233.65,228.99,
07/12/17,229.79,228.28,232.07,226.21,
06/12/17,228.66,226.06,231.03,225.94,
05/12/17,227.53,233.41,235.27,226.11,
04/12/17,231.27,232.00,236.18,230.82,
01/12/17,228.17,227.04,230.80,219.56,
30/11/17,227.64,229.22,233.46,226.01,
29/11/17,226.98,222.80,229.67,222.16,
28/11/17,221.33,214.60,221.70,214.31,
27/11/17,213.41,213.00,215.61,212.30,
24/11/17,213.10,215.11,216.30,213.00,
22/11/17,214.08,215.61,215.75,212.77,
21/11/17,214.92,216.02,216.44,212.71,
20/11/17,215.15,215.07,216.84,214.08,
17/11/17,215.22,213.13,216.53,211.91,
16/11/17,214.23,215.00,216.84,212.03,
15/11/17,213.74,210.00,215.03,208.23,
14/11/17,213.28,210.40,214.07,210.40,
13/11/17,212.26,206.72,212.72,204.79,
10/11/17,208.88,208.81,210.23,207.81,
09/11/17,208.23,208.04,212.12,204.32,
08/11/17,209.56,214.54,215.92,208.31,
07/11/17,215.06,218.03,218.12,212.45,
06/11/17,217.69,219.49,220.10,217.10,
03/11/17,219.52,217.34,220.40,215.57,
02/11/17,218.92,218.42,220.60,215.78,
01/11/17,218.73,220.45,221.82,217.85,
31/10/17,219.28,221.86,221.86,218.01,
30/10/17,220.94,217.46,222.52,216.76,
27/10/17,216.69,209.98,223.82,206.98,
26/10/17,192.37,188.73,192.94,186.16,
25/10/17,188.58,189.49,190.09,185.41,
24/10/17,188.99,188.53,191.49,187.95,
23/10/17,186.80,189.59,189.63,186.74,
20/10/17,189.47,189.39,190.99,188.77,
19/10/17,185.18,181.00,186.61,180.32,
18/10/17,182.70,182.30,183.50,181.38,
17/10/17,181.64,185.74,185.95,181.51,
16/10/17,185.20,184.63,186.50,184.43,
13/10/17,184.16,186.16,186.16,183.51,
12/10/17,187.43,188.38,189.43,186.97,
11/10/17,188.07,188.92,189.22,186.76,
10/10/17,188.93,189.16,189.71,187.42,
09/10/17,188.00,189.23,189.23,186.90,
06/10/17,189.10,188.44,191.47,187.24,
05/10/17,187.26,183.60,187.67,183.60,
04/10/17,182.69,184.89,186.15,182.41,
03/10/17,186.13,188.91,189.62,185.26,
02/10/17,187.96,186.54,188.47,184.75,
29/09/17,187.09,186.58,191.38,186.58,
28/09/17,186.59,187.00,187.55,183.67,
27/09/17,186.42,183.62,187.00,182.71,
26/09/17,180.68,179.51,181.58,179.34,
25/09/17,179.93,178.94,182.18,178.61,
22/09/17,179.82,177.72,180.37,177.72,
21/09/17,179.06,177.25,179.50,176.16,
20/09/17,177.22,172.42,177.60,170.14,
19/09/17,172.88,173.01,175.27,172.31,
18/09/17,172.65,170.83,173.26,169.98,
15/09/17,170.59,168.76,171.01,167.99,
14/09/17,168.98,171.76,172.23,168.90,
13/09/17,171.42,171.54,172.03,170.10,
12/09/17,171.24,169.52,172.60,168.08,
11/09/17,168.57,165.23,169.99,162.94,
08/09/17,162.46,160.52,164.44,159.68,
07/09/17,160.72,167.64,167.75,159.44,
06/09/17,167.84,168.03,169.34,166.98,
05/09/17,167.18,170.81,171.66,165.31,
01/09/17,172.53,169.71,173.14,169.31,
31/08/17,169.34,169.83,171.67,169.00,
30/08/17,169.63,166.57,170.65,165.80,
29/08/17,165.91,165.78,166.63,163.75,
28/08/17,167.95,169.79,170.88,167.54,
25/08/17,169.64,169.68,171.49,168.53,
24/08/17,169.34,169.57,169.96,167.96,
23/08/17,168.43,166.31,170.90,165.02,
22/08/17,168.34,165.96,168.52,165.42,
21/08/17,164.84,166.67,167.62,163.91,
18/08/17,166.59,165.65,168.26,163.69,
17/08/17,166.30,173.43,174.64,165.41,
16/08/17,174.13,175.24,176.49,173.28,
15/08/17,174.66,175.89,177.04,174.56,
14/08/17,174.33,175.16,176.77,173.19,
11/08/17,172.03,172.26,174.62,170.27,
10/08/17,172.82,177.78,178.31,172.55,
09/08/17,179.55,182.13,183.94,178.79,
08/08/17,184.01,183.14,187.26,182.76,
07/08/17,182.85,185.83,187.71,182.68,
04/08/17,184.89,184.01,186.80,182.20,
03/08/17,181.44,183.50,184.74,181.15,
02/08/17,183.33,182.98,184.17,181.75,
01/08/17,183.39,180.20,184.72,179.28,
31/07/17,178.44,178.47,179.17,177.42,
28/07/17,176.99,178.00,178.00,172.00,
27/07/17,179.14,180.06,181.84,177.40,
26/07/17,178.65,182.69,184.25,177.98,
25/07/17,182.99,181.65,186.19,181.65,
24/07/17,178.27,177.19,179.09,176.34,
21/07/17,177.42,179.43,180.48,176.73,
20/07/17,179.96,180.80,181.94,177.81,
19/07/17,180.07,180.23,182.19,178.90,
18/07/17,179.96,179.15,181.75,178.27,
17/07/17,180.57,180.55,181.79,177.66,
14/07/17,181.70,180.80,182.91,178.08,
13/07/17,183.07,182.76,183.56,181.65,
12/07/17,182.17,182.12,183.62,181.02,
11/07/17,182.42,181.55,183.78,179.55,
10/07/17,180.92,180.52,182.35,178.46,
07/07/17,181.72,178.50,181.98,177.15,
06/07/17,177.11,180.24,182.51,176.76,
05/07/17,180.60,181.14,181.58,177.32,
03/07/17,179.44,177.17,181.69,176.01,
30/06/17,175.79,178.05,178.05,174.47,
29/06/17,177.23,179.58,181.49,175.89,
28/06/17,176.09,176.27,177.45,174.74,
27/06/17,174.45,174.27,177.75,173.06,
26/06/17,173.16,172.57,175.37,170.52,
23/06/17,170.84,175.58,175.99,170.62,
22/06/17,174.25,173.75,174.64,170.82,
21/06/17,173.85,177.82,180.01,173.51,
20/06/17,177.12,179.78,180.43,177.08,
19/06/17,180.75,180.47,182.91,179.86,
16/06/17,178.88,179.69,180.91,177.66,
15/06/17,179.78,180.75,183.51,178.52,
14/06/17,182.56,181.68,183.07,177.10,
13/06/17,183.31,183.31,185.25,182.22,
12/06/17,182.17,180.89,184.62,180.30,
09/06/17,180.66,177.21,183.54,177.21,
08/06/17,175.56,169.11,179.24,169.06,
07/06/17,169.70,169.48,170.78,168.14,
06/06/17,167.92,167.16,170.20,165.08,
05/06/17,169.49,168.99,171.94,168.99,
02/06/17,169.27,170.72,171.21,168.21,
01/06/17,173.44,172.47,174.16,167.61,
31/05/17,170.50,174.27,174.32,166.44,
30/05/17,173.82,175.67,176.10,170.44,
26/05/17,176.50,178.95,179.36,176.20,
25/05/17,179.01,180.22,181.86,177.88,
24/05/17,179.64,180.44,180.64,177.27,
23/05/17,179.97,176.12,182.23,174.91,
22/05/17,176.62,176.07,177.32,173.67,
19/05/17,175.69,174.92,178.07,172.11,
18/05/17,174.17,174.31,176.40,171.55,
17/05/17,174.16,180.31,180.74,171.56,
16/05/17,184.67,185.43,185.97,181.15,
15/05/17,185.19,181.90,185.56,181.51,
12/05/17,181.91,181.47,182.22,177.14,
11/05/17,182.94,185.29,186.55,180.26,
10/05/17,186.25,184.69,187.00,184.59,
09/05/17,185.97,184.20,186.78,182.96,
08/05/17,183.94,182.90,184.32,181.22,
05/05/17,182.65,183.00,183.00,179.00,
04/05/17,181.84,182.64,185.24,180.86,
03/05/17,181.47,177.00,181.84,177.00,
02/05/17,178.39,178.66,180.54,177.41,
01/05/17,180.28,176.93,181.97,176.09,
28/04/17,175.94,173.71,183.50,173.00,
27/04/17,189.21,193.65,193.65,188.82,
26/04/17,192.49,189.52,194.87,189.52,
25/04/17,190.19,189.50,191.63,189.06,
24/04/17,187.31,188.43,191.72,186.47,
21/04/17,183.12,183.12,184.69,181.14,
20/04/17,183.49,180.73,184.13,179.06,
19/04/17,178.94,178.93,181.46,178.29,
18/04/17,176.82,176.98,179.84,174.06,
17/04/17,178.36,176.01,178.72,173.08,
13/04/17,176.32,178.00,180.25,175.61,
12/04/17,179.46,182.20,183.82,178.60,
11/04/17,182.45,179.20,182.80,177.30,
10/04/17,179.81,181.92,184.91,177.74,
07/04/17,182.19,180.28,184.03,177.91,
06/04/17,182.11,178.33,183.00,177.13,
05/04/17,178.07,185.34,186.36,177.53,
04/04/17,182.93,181.94,184.06,180.51,
03/04/17,183.79,187.11,187.89,180.51,
31/03/17,186.09,187.99,189.84,186.01,
30/03/17,188.25,181.28,188.63,181.28,
29/03/17,180.80,181.12,182.64,179.00,
28/03/17,182.02,177.70,183.56,177.70,
27/03/17,178.70,174.28,178.75,170.00,
24/03/17,177.94,179.89,180.58,176.40,
23/03/17,178.18,176.59,180.96,174.50,
22/03/17,176.17,173.08,180.00,170.09,
21/03/17,174.72,189.99,189.99,174.26,
20/03/17,188.61,197.03,197.03,188.43,
17/03/17,197.19,194.84,197.97,192.57,
16/03/17,194.80,192.00,195.83,191.90,
15/03/17,191.77,194.53,195.54,191.12,
14/03/17,194.21,192.34,194.44,190.27,
13/03/17,193.98,193.05,195.45,193.05,
10/03/17,193.52,195.13,195.13,190.61,
09/03/17,193.88,194.11,195.53,191.58,
08/03/17,193.24,195.48,197.26,193.04,
07/03/17,193.12,193.88,194.83,191.70,
06/03/17,194.26,192.64,194.83,191.13,
03/03/17,193.94,192.51,194.25,191.83,
02/03/17,192.11,197.91,198.49,191.52,
01/03/17,197.63,196.94,198.83,196.00,
28/02/17,190.89,190.82,191.78,188.75,
27/02/17,191.79,189.17,191.96,187.64,
24/02/17,188.23,186.30,188.34,185.00,
23/02/17,189.13,187.97,189.29,185.54,
22/02/17,188.15,185.25,189.04,184.49,
21/02/17,187.12,185.69,188.44,185.13,
17/02/17,184.58,182.58,184.61,181.61,
16/02/17,184.41,185.01,186.14,183.08,
15/02/17,185.74,186.07,187.48,184.69,
14/02/17,185.49,179.82,186.50,179.68,
13/02/17,180.56,178.95,182.34,178.95,
10/02/17,177.47,180.03,181.25,176.40,
09/02/17,179.44,177.26,180.69,176.13,
08/02/17,175.84,175.36,176.74,172.68,
07/02/17,176.24,177.25,178.79,175.77,
06/02/17,176.02,176.96,178.79,174.91,
03/02/17,178.05,173.61,178.47,172.65,
02/02/17,170.93,171.49,173.00,169.47,
01/02/17,172.81,174.51,177.44,171.67,
31/01/17,172.23,174.54,176.05,170.30,
30/01/17,174.75,175.89,177.00,170.19,
27/01/17,177.41,175.03,180.00,172.01,
26/01/17,177.66,176.45,178.50,175.75,
25/01/17,175.59,174.56,176.30,173.01,
24/01/17,172.42,169.34,173.37,168.30,
23/01/17,167.99,168.72,170.65,165.70,
20/01/17,170.11,168.89,171.21,168.77,
19/01/17,168.59,169.34,170.49,167.13,
18/01/17,168.81,168.50,168.99,165.05,
17/01/17,167.57,174.10,174.76,167.17,
13/01/17,176.59,175.91,180.48,174.02,
12/01/17,174.51,176.04,177.36,171.36,
11/01/17,177.53,175.95,177.55,173.86,
10/01/17,175.95,175.68,176.48,173.51,
09/01/17,174.33,176.34,176.34,173.42,
06/01/17,177.52,176.41,179.35,175.47,
05/01/17,175.17,178.29,179.97,173.26,
04/01/17,178.98,172.13,179.38,172.13,
03/01/17,172.12,174.66,176.78,169.41,
30/12/16,171.66,171.42,173.05,169.75,
29/12/16,170.38,170.88,173.44,168.80,
28/12/16,172.68,175.00,175.23,171.59,
27/12/16,174.22,173.52,175.74,171.74,
23/12/16,173.50,173.00,173.76,170.54,
22/12/16,173.43,173.20,173.50,171.63,
21/12/16,172.31,172.10,173.27,170.49,
20/12/16,171.90,170.45,172.05,169.95,
19/12/16,169.07,168.65,169.42,166.07,
16/12/16,168.22,172.57,173.64,167.68,
15/12/16,173.02,168.00,175.61,166.19,
14/12/16,166.65,165.61,170.17,163.65,
13/12/16,167.14,167.23,168.41,163.54,
12/12/16,165.99,169.47,170.78,163.96,
09/12/16,170.80,170.49,171.75,167.18,
08/12/16,170.46,170.60,173.58,168.88,
07/12/16,169.17,167.07,169.29,165.43,
06/12/16,167.12,166.77,167.36,163.50,
05/12/16,165.01,164.02,165.55,162.31,
02/12/16,161.92,161.03,162.36,158.24,
01/12/16,162.45,158.18,163.39,158.18,
30/11/16,158.03,156.25,159.90,154.58,
29/11/16,153.67,153.36,155.34,152.13,
28/11/16,152.61,154.41,155.66,152.06,
25/11/16,155.97,156.16,156.55,154.05,
23/11/16,156.12,155.99,156.76,154.44,
22/11/16,155.25,153.56,155.53,152.35,
21/11/16,153.07,152.00,153.28,150.64,
18/11/16,150.84,149.79,151.40,149.01,
17/11/16,149.80,148.78,150.35,147.56,
16/11/16,147.35,149.49,149.59,146.79,
15/11/16,150.92,148.62,151.74,144.31,
14/11/16,151.28,147.03,153.39,146.21,
11/11/16,145.03,138.47,145.36,138.16,
10/11/16,139.90,134.21,141.84,134.08,
09/11/16,132.09,125.23,133.50,124.77,
08/11/16,124.51,122.60,124.76,121.12,
07/11/16,124.24,122.08,124.95,122.08,
04/11/16,118.70,117.90,120.23,116.59,
03/11/16,117.90,118.02,119.58,117.30,
02/11/16,117.66,119.51,119.51,117.06,
01/11/16,120.36,121.75,122.66,118.61,
31/10/16,122.27,123.28,123.93,121.59,
28/10/16,122.68,125.22,126.07,122.42,
27/10/16,125.29,125.37,126.55,123.50,
26/10/16,124.38,123.13,124.91,122.81,
25/10/16,123.67,126.63,127.27,123.58,
24/10/16,127.65,126.30,128.50,125.95,
21/10/16,125.05,125.40,126.00,120.39,
20/10/16,116.84,117.07,118.23,115.75,
19/10/16,117.76,115.61,117.76,114.98,
18/10/16,114.81,116.48,116.59,114.22,
17/10/16,114.89,115.50,117.30,114.56,
14/10/16,116.30,116.53,117.32,115.58,
13/10/16,114.61,116.22,116.84,112.00,
12/10/16,118.07,118.71,119.95,117.66,
11/10/16,118.64,120.19,121.75,117.65,
10/10/16,120.26,119.98,121.43,119.48,
07/10/16,118.89,117.86,119.24,116.42,
06/10/16,117.57,118.68,119.04,117.28,
05/10/16,118.35,113.54,119.07,113.21,
04/10/16,112.70,110.38,113.99,109.67,
03/10/16,109.38,109.61,110.86,108.94,
30/09/16,110.54,107.76,110.89,107.14,
29/09/16,107.31,109.48,110.91,106.91,
28/09/16,109.31,108.42,109.42,106.42,
27/09/16,107.48,106.16,107.69,104.84,
26/09/16,106.15,108.35,110.67,105.95,
23/09/16,109.69,108.65,110.84,108.60,
22/09/16,109.56,108.50,110.00,108.42,
21/09/16,107.86,107.97,109.38,106.46,
20/09/16,106.93,108.43,108.54,106.39,
19/09/16,107.65,107.91,109.53,106.87,
16/09/16,106.84,106.35,108.06,106.27,
15/09/16,107.12,104.21,107.31,103.86,
14/09/16,104.23,105.41,105.85,103.12,
13/09/16,105.25,106.11,106.12,103.32,
12/09/16,107.54,106.87,108.07,104.54,
09/09/16,107.81,107.83,109.90,107.70,
08/09/16,108.49,108.31,109.22,107.24,
07/09/16,108.19,107.11,108.21,106.75,
06/09/16,107.31,111.28,111.72,107.10,
02/09/16,111.68,111.45,111.81,108.66,
01/09/16,110.99,110.99,112.83,108.80,
31/08/16,111.06,111.48,112.15,109.69,
30/08/16,111.42,109.70,112.42,109.70,
29/08/16,109.74,108.50,110.56,108.46,
26/08/16,108.51,107.43,109.83,106.89,
25/08/16,107.11,106.05,107.14,105.84,
24/08/16,106.02,106.71,107.74,105.56,
23/08/16,106.51,106.19,106.98,104.90,
22/08/16,105.38,104.98,106.00,104.64,
19/08/16,105.82,105.56,106.32,104.92,
18/08/16,106.04,105.51,106.34,105.01,
17/08/16,105.61,106.49,107.12,105.56,
16/08/16,105.97,104.84,106.31,103.61,
15/08/16,105.72,103.16,106.00,103.05,
12/08/16,102.51,102.50,102.70,101.28,
11/08/16,103.65,104.12,105.11,101.81,
10/08/16,103.97,105.85,106.95,103.65,
09/08/16,106.33,102.94,106.34,102.94,
08/08/16,103.12,104.58,104.95,102.86,
05/08/16,103.73,100.11,104.08,100.11,
04/08/16,98.68,98.72,99.47,97.96,
03/08/16,98.75,97.91,99.49,97.91,
02/08/16,97.61,97.72,98.91,96.86,
01/08/16,98.00,100.77,101.68,97.94,
29/07/16,100.42,101.14,102.22,100.01,
28/07/16,101.47,102.70,103.41,101.28,
27/07/16,102.91,102.69,104.77,102.24,
26/07/16,102.52,101.32,103.53,101.26,
25/07/16,101.67,100.25,101.85,100.02,
22/07/16,101.01,101.00,102.20,98.06,
21/07/16,102.20,103.73,104.65,102.10,
20/07/16,103.62,105.00,105.00,102.82,
19/07/16,103.96,102.19,105.26,102.19,
18/07/16,103.11,102.60,103.44,102.06,
15/07/16,102.55,102.23,103.68,101.31,
14/07/16,101.68,100.76,102.59,99.59,
13/07/16,98.20,98.56,99.40,96.83,
12/07/16,99.24,97.51,99.45,97.06,
11/07/16,96.08,95.81,97.51,95.36,
08/07/16,94.89,95.28,96.72,94.64,
07/07/16,93.15,90.53,93.94,90.43,
06/07/16,90.45,89.31,91.04,87.28,
05/07/16,89.99,92.85,93.65,88.52,
01/07/16,93.85,94.23,96.11,92.50,
30/06/16,95.16,93.00,95.17,91.33,
29/06/16,92.65,91.92,93.23,90.67,
28/06/16,90.17,86.16,90.70,86.16,
27/06/16,83.51,91.15,91.15,82.90,
24/06/16,93.39,98.00,99.88,90.27,
23/06/16,104.91,101.08,104.91,100.80,
22/06/16,99.10,100.27,101.36,99.02,
21/06/16,99.96,100.38,100.43,98.79,
20/06/16,99.94,101.03,102.92,99.71,
17/06/16,98.61,97.94,99.22,97.07,
16/06/16,97.72,98.90,98.90,95.90,
15/06/16,99.80,99.99,102.08,99.22,
14/06/16,99.40,101.40,102.76,98.57,
13/06/16,102.40,102.73,104.95,102.13,
10/06/16,103.77,105.00,105.72,103.49,
09/06/16,106.14,107.31,108.74,105.00,
08/06/16,108.20,108.56,109.65,108.08,
07/06/16,108.74,109.20,109.92,107.91,
06/06/16,109.12,106.33,109.63,105.01,
03/06/16,106.14,107.11,108.89,103.07,
02/06/16,110.96,109.91,110.97,108.40,
01/06/16,109.95,108.04,110.19,106.35,
31/05/16,110.20,109.40,110.88,108.83,
27/05/16,108.60,106.35,108.61,106.05,
26/05/16,106.94,107.79,108.62,105.81,
25/05/16,107.89,104.95,108.47,104.95,
24/05/16,104.19,101.34,105.54,101.34,
23/05/16,102.57,102.65,103.14,100.83,
20/05/16,102.67,101.64,103.64,101.25,
19/05/16,100.62,100.62,103.17,99.26,
18/05/16,101.57,96.75,102.77,96.75,
17/05/16,96.75,95.67,97.76,94.87,
16/05/16,95.75,92.61,96.05,92.51,
13/05/16,92.10,94.90,96.57,91.37,
12/05/16,95.07,97.97,98.76,94.24,
11/05/16,97.18,97.65,99.69,96.82,
10/05/16,98.34,97.04,99.18,96.56,
09/05/16,96.54,96.38,97.99,95.73,
06/05/16,96.77,95.38,96.79,94.63,
05/05/16,96.26,97.35,99.52,95.48,
04/05/16,96.77,100.03,100.62,95.45,
03/05/16,100.76,103.50,103.50,99.86,
02/05/16,105.18,104.08,106.12,102.90,
29/04/16,104.28,102.62,104.61,101.71,
28/04/16,102.54,104.10,105.16,102.28,
27/04/16,105.10,106.15,106.42,103.96,
26/04/16,106.53,106.89,107.60,105.03,
25/04/16,106.61,106.94,106.97,104.95,
22/04/16,107.16,101.10,107.77,101.00,
21/04/16,112.77,114.99,115.93,112.55,
20/04/16,114.17,112.62,115.12,111.62,
19/04/16,112.51,109.89,112.51,109.28,
18/04/16,109.78,107.91,110.75,107.46,
15/04/16,108.82,109.77,110.29,108.07,
14/04/16,109.62,108.71,112.69,107.81,
13/04/16,108.87,103.03,109.94,102.92,
12/04/16,102.33,100.14,102.50,99.74,
11/04/16,99.62,100.02,102.53,99.17,
08/04/16,99.11,98.81,100.51,98.37,
07/04/16,97.74,100.80,101.50,96.34,
06/04/16,101.80,100.09,101.86,98.48,
05/04/16,99.70,102.00,102.00,99.44,
04/04/16,103.18,102.80,103.98,101.60,
01/04/16,103.05,101.03,103.14,99.71,
31/03/16,102.05,103.04,104.17,100.74,
30/03/16,103.29,101.37,104.65,101.37,
29/03/16,101.08,99.25,101.15,97.30,
28/03/16,99.74,99.97,100.88,98.36,
24/03/16,99.77,98.73,99.81,96.85,
23/03/16,99.85,100.28,101.45,98.68,
22/03/16,100.98,99.38,101.23,97.69,
21/03/16,100.38,98.95,101.38,98.59,
18/03/16,98.94,96.31,101.51,94.47,
17/03/16,96.61,97.65,97.65,94.81,
16/03/16,97.74,99.41,103.00,95.46,
15/03/16,99.49,99.06,100.20,98.02,
14/03/16,100.29,99.79,101.10,97.52,
11/03/16,100.31,97.72,100.43,96.74,
10/03/16,96.46,97.14,97.83,92.55,
09/03/16,95.67,99.81,99.81,95.29,
08/03/16,99.03,101.33,103.04,98.86,
07/03/16,102.93,101.00,102.98,100.03,
04/03/16,101.66,100.00,102.78,99.67,
03/03/16,99.45,96.77,99.50,96.59,
02/03/16,97.27,94.81,97.78,93.81,
01/03/16,94.72,89.30,95.25,88.19,
29/02/16,88.85,90.67,91.01,88.49,
27/02/16,90.27,90.27,90.27,90.27,
26/02/16,90.17,86.84,91.81,86.76,
25/02/16,86.33,84.27,86.91,83.67,
24/02/16,83.48,82.41,83.85,80.31,
23/02/16,83.79,87.32,87.32,83.21,
22/02/16,87.50,87.40,90.33,86.74,
19/02/16,86.53,85.89,86.99,84.80,
18/02/16,86.64,88.18,88.67,85.72,
17/02/16,88.19,88.98,90.50,87.61,
16/02/16,87.41,85.75,89.06,85.37,
